ID,LOCATION,ADDRESS,LAT,LONG
P374650,HIKMA PHARMACEUTICALS,2 Esterbrook Ln Cherry Hill NJ 08003,39.91565,-74.9667234
P328376,BOURBON BLUE,2 Rector St Philadelphia PA 19127,40.0242584,-75.2222218
83730489,Bad Hair Day,20 Lake Ave Rehoboth Beach DE 19971,38.7172806,-75.083586
N1080692,Walgreen's - Dover Pharmacy #11322,200 Banning St Dover DE 19904,39.1533413,-75.5359493
P328539,RAMBLEWOOD COUNTRY CLUB,200 Country Club Pkwy Mt Laurel Township NJ 08054,39.9225514,-74.9352169
P328590,VALLEYBROOK COUNTRY CLUB,200 Golfview Dr Blackwood NJ 08012,39.8183868,-75.058605
83730213,B.P.O.E. #1903 Dover Elks,200 Saulsbury Road Dover DE 19904,39.1632477,-75.545047
83730123,Delmar VFW,200 West State Street Delmar MD 21875,38.455097,-75.581905
,Fairfax Banking Office ,2005 Concord Pike Wilmington DE 19803,39.7884427,-75.5453881
83730359,Kirkwood Exxon,2007 Newport Gap Pike Wilmington DE 19808,39.7359158,-75.6299239
83730497,The Starboard - Main Bar,2009 Highway One Dewey Beach DE 19971,38.7026621,-75.0764273
83730496,The Starboard - Shark Tank,2009 Highway One Dewey Beach DE 19971,38.7026621,-75.0764273
83730087,The Tap Room,201 Bohemia Ave Chesapeake City MD 21915,39.5270037,-75.8128561
P328378,BOYARS MARKET 2,201 E 55th St Sea Isle City NJ 08243,39.1473115,-74.7008167
83730231,Local 74 Plumbers&Pipefitters Union,201 Executive Drive Newark DE 19702,39.6154266,-75.747382
P327827,BRT - #201,201 King of Prussia Rd Radnor PA 19087,40.0437927,-75.3570679
83730372,South Bridge BP Exterior,201 South Heald Street Wilmington DE 19803,39.7317539,-75.5423405
,West Newark Banking Office,201 Suburban Plaza Newark DE 19711,39.6658712,-75.7771421
N1080654,Walgreen's - Brackenville Rd #11052,2012 Brackenville Rd Hockessin DE 19707,39.7809327,-75.679445
P328402,CORROPOLESE BAKERY,2014 Old Arch Rd Norristown PA 19401,40.1301846,-75.3176219
P328601,VWC NAILS,2020 Penrose Ave Philadelphia PA 19145,39.9119623,-75.18322
,Broomall Banking Office,2021 Sproul Rd Broomall PA 19008,39.9645464,-75.35766
83730525,Heritages #30,203 N Main St Mullica Hill NJ 08062,39.75194,-75.2130364
83730634,Smyrna Clayton Moose Lodge,2035 S DuPont Blvd Smyrna DE 19977,39.2753674,-75.5904814
